Country,Unemployment,Account
United Kingdom,0.975,96.07344055
United States,0.926829268292683,92.68624878
Uruguay,1.49230769230769,60.62883759
Uzbekistan,0.925925925925926,35.96907806
Vanuatu,1.24489795918367,
"Venezuela, Bolivarian Republic of",1.125,70.03800964
Viet Nam,0.9,30.41970062
Yemen,1.94214876033058,1.671490073
Zambia,0.92,40.27887726
Zimbabwe,1.22727272727273,51.66492462
